Date,Open,High,Low,Close,Volume
2024-07-16,104.04,105.84,103.67,104.94,1748381
2024-07-17,104.94,105.42,103.75,104.25,1679680
2024-07-18,104.25,109.23,102.69,106.61,1213699
2024-07-19,106.61,106.93,104.58,105.83,884231
2024-07-22,105.83,105.93,104.15,104.54,1824339
2024-07-23,104.54,104.94,102.79,103.04,1617461
2024-07-24,103.04,104.97,102.75,103.80,1557061
2024-07-25,103.80,104.29,103.00,104.01,1309644
2024-07-26,104.01,104.05,103.37,103.45,1364493
2024-07-29,103.45,106.42,102.39,104.96,1197496
2024-07-30,104.96,106.21,104.44,105.51,1552699
2024-07-31,105.51,106.69,104.72,105.99,1087167
2024-08-01,105.99,106.43,104.22,104.98,1616113
2024-08-02,104.98,105.65,104.56,105.44,804475
2024-08-05,105.44,106.15,105.07,105.14,1898428
2024-08-06,105.14,105.39,104.95,104.99,1554930
2024-08-07,104.99,107.37,104.05,106.40,1797441
2024-08-08,106.40,107.80,105.99,107.62,1516383
2024-08-09,107.62,108.01,107.36,107.59,1539190
2024-08-12,107.59,108.26,104.38,105.90,954336
2024-08-13,105.90,106.52,104.39,104.82,1295996
2024-08-14,104.82,107.99,102.79,107.45,1609256
2024-08-15,107.45,110.55,100.70,104.06,1684456
2024-08-16,104.06,104.16,103.40,103.80,1044808
2024-08-19,103.80,105.66,102.00,102.12,1601791
2024-08-20,102.12,102.88,102.08,102.59,1400166
2024-08-21,102.59,103.13,100.56,101.13,1043998
2024-08-22,101.13,102.00,100.87,101.74,1808770
2024-08-23,101.74,101.76,101.11,101.22,1660494
2024-08-26,101.22,103.67,100.60,102.63,1874299
2024-08-27,102.63,103.09,99.02,100.81,1762217
2024-08-28,100.81,101.12,100.69,101.09,1812716
2024-08-29,101.09,101.38,100.50,100.65,1938600
2024-08-30,100.65,102.12,97.18,99.02,942114
2024-09-02,99.02,100.65,98.14,99.69,1185069
2024-09-03,99.69,99.74,97.67,98.67,1319415
2024-09-04,98.67,100.87,98.58,99.94,1664279
2024-09-05,99.94,100.14,99.79,100.00,1516796
2024-09-06,100.00,100.95,99.97,100.16,948557
2024-09-09,100.16,102.11,99.50,100.95,1579873
2024-09-10,100.95,102.04,95.78,98.40,964261
2024-09-11,98.40,99.72,96.16,97.27,1481385
2024-09-12,97.27,98.41,94.09,95.34,1168074
2024-09-13,95.34,95.71,94.33,94.50,1601067
2024-09-16,94.50,95.54,93.71,95.12,1481310
2024-09-17,95.12,96.79,94.81,96.06,1394370
2024-09-18,96.06,96.26,95.57,95.76,1598897
2024-09-19,95.76,96.88,95.17,95.34,1977728
2024-09-20,95.34,95.91,91.64,93.19,1252754
2024-09-23,93.19,97.38,89.58,97.09,1099428
2024-09-24,97.09,97.73,92.49,94.82,1220181
2024-09-25,94.82,95.47,94.65,94.65,1185393
2024-09-26,94.65,95.50,92.84,93.71,1011012
2024-09-27,93.71,94.37,89.85,91.44,1626635
2024-09-30,91.44,91.47,91.32,91.45,1275223
2024-10-01,91.45,91.61,90.95,91.23,818940
2024-10-02,91.23,95.33,90.71,93.16,820639
2024-10-03,93.16,94.32,89.82,91.54,1376088
2024-10-04,91.54,92.40,91.12,91.66,1904707
2024-10-07,91.66,93.73,90.72,92.79,1703968
2024-10-08,92.79,93.94,91.67,91.96,1295663
2024-10-09,91.96,98.13,91.42,95.09,1816121
2024-10-10,95.09,96.64,91.33,93.13,1796098
2024-10-11,93.13,94.11,92.18,94.04,1064699
2024-10-14,94.04,94.20,93.49,93.85,1893548
2024-10-15,93.85,94.54,90.41,92.26,1731960
2024-10-16,92.26,92.59,91.14,91.78,1402592
2024-10-17,91.78,92.14,91.17,91.92,1777131
2024-10-18,91.92,93.13,87.52,89.60,1549071
2024-10-21,89.60,91.56,88.58,90.61,1904109
2024-10-22,90.61,91.29,90.39,91.03,1213656
2024-10-23,91.03,91.42,88.50,89.76,1448750
2024-10-24,89.76,94.84,87.23,92.84,1995320
2024-10-25,92.84,93.57,92.34,92.93,1537332
2024-10-28,92.93,93.12,92.84,93.01,1620314
2024-10-29,93.01,93.58,91.05,91.11,1809274
2024-10-30,91.11,92.39,90.54,91.66,1203996
2024-10-31,91.66,91.85,91.55,91.71,1824187
2024-11-01,91.71,92.00,89.09,90.17,1119388
2024-11-04,90.17,93.73,88.06,92.69,1470075
2024-11-05,92.69,92.91,90.97,91.97,1078070
2024-11-06,91.97,94.16,88.38,89.60,1304658
2024-11-07,89.60,89.99,88.62,89.11,1551056
2024-11-08,89.11,90.45,88.38,90.00,1077455
2024-11-11,90.00,90.38,89.61,89.63,1168955
2024-11-12,89.63,90.27,89.26,90.03,1812550
2024-11-13,90.03,91.23,89.09,90.87,822402
2024-11-14,90.87,92.14,90.08,92.08,1981640
2024-11-15,92.08,92.54,91.67,92.54,1855882
2024-11-18,92.54,93.48,91.58,91.70,1722046
2024-11-19,91.70,93.42,90.94,92.71,1996723
2024-11-20,92.71,93.11,91.22,92.15,900715
2024-11-21,92.15,92.64,88.18,89.98,1887221
2024-11-22,89.98,90.50,89.55,90.43,1410637
2024-11-25,90.43,91.57,89.81,90.98,1036334
2024-11-26,90.98,91.12,90.61,90.84,815407
2024-11-27,90.84,92.15,89.39,89.75,1108221
2024-11-28,89.75,91.62,88.53,90.47,829421
2024-11-29,90.47,93.40,84.79,87.94,1036366
2024-12-02,87.94,89.81,86.18,89.68,1600070
2024-12-03,89.68,90.13,87.65,88.79,1411622
2024-12-04,88.79,88.88,88.53,88.64,1261987
2024-12-05,88.64,88.91,85.33,85.43,1118081
2024-12-06,85.43,85.87,84.90,85.56,1904315
2024-12-09,85.56,86.72,83.10,84.14,967043
2024-12-10,84.14,84.55,83.29,83.52,1527908
2024-12-11,83.52,84.26,83.33,84.15,1066035
2024-12-12,84.15,84.33,83.85,84.00,1945453
2024-12-13,84.00,84.33,84.00,84.07,810344
2024-12-16,84.07,86.51,83.59,85.42,1936133
2024-12-17,85.42,87.01,82.24,83.36,1015931
2024-12-18,83.36,84.24,82.70,83.86,1061789
2024-12-19,83.86,84.18,83.05,83.48,873676
2024-12-20,83.48,83.58,83.30,83.39,883343
2024-12-23,83.39,84.71,82.52,84.26,965938
2024-12-24,84.26,85.53,82.84,83.48,1476612
2024-12-25,83.48,85.33,82.86,84.21,1540144
2024-12-26,84.21,84.50,82.15,82.71,1097926
2024-12-27,82.71,83.47,78.85,80.80,1026734
2024-12-30,80.80,81.42,80.33,80.33,998450
2024-12-31,80.33,84.44,78.22,82.65,1126242
